月份,消费者信心指数_指数值,消费者信心指数_同比增长,消费者信心指数_环比增长,消费者满意指数_指数值,消费者满意指数_同比增长,消费者满意指数_环比增长,消费者预期指数_指数值,消费者预期指数_同比增长,消费者预期指数_环比增长,,,,,,,,,
2019年08月份,122.4,3.20%,-1.61%,117.9,3.60%,-1.34%,125.4,2.87%,-1.72%,,,,,,,,,
2019年07月份,124.4,3.93%,-1.19%,119.5,3.46%,-0.91%,127.6,4.16%,-1.39%,,,,,,,,,
2019年06月份,125.9,6.51%,2.03%,120.6,6.07%,1.26%,129.4,6.77%,2.54%,,,,,,,,,
2019年05月份,123.4,0.41%,-1.52%,119.1,0.85%,-1.00%,126.2,0.08%,-1.94%,,,,,,,,,
2019年04月份,125.3,1.95%,0.97%,120.3,2.38%,0.75%,128.7,1.74%,1.18%,,,,,,,,,
2019年03月份,124.1,1.47%,-1.51%,119.4,1.96%,-1.32%,127.2,1.19%,-1.62%,,,,,,,,,
2019年02月份,126,1.61%,1.86%,121,1.68%,2.20%,129.3,1.49%,1.65%,,,,,,,,,
2019年01月份,123.7,1.14%,0.57%,118.4,1.02%,0.17%,127.2,1.19%,0.71%,,,,,,,,,
2018年12月份,123,-2.30%,0.74%,118.2,0.51%,0.77%,126.3,3.02%,0.80%,,,,,,,,,
2018年11月份,122.1,-2.01%,2.52%,117.3,0.86%,2.53%,125.3,3.30%,2.45%,,,,,,,,,
2018年10月份,119.1,-6.66%,0.51%,114.4,-3.38%,0.79%,122.3,-1.29%,0.33%,,,,,,,,,
2018年09月份,118.5,-2.79%,-0.08%,113.5,-0.18%,-0.26%,121.9,2.78%,0.00%,,,,,,,,,
2018年08月份,118.6,0.85%,-0.92%,113.8,3.27%,-1.47%,121.9,6.28%,-0.49%,,,,,,,,,
2018年07月份,119.7,4.45%,1.27%,115.5,4.62%,1.58%,122.5,4.34%,1.07%,,,,,,,,,
2018年06月份,118.2,4.32%,-3.82%,113.7,4.79%,-3.73%,121.2,4.12%,-3.89%,,,,,,,,,
2018年05月份,122.9,9.73%,0.00%,118.1,9.45%,0.51%,126.1,9.94%,-0.32%,,,,,,,,,
2018年04月份,122.9,8.38%,0.49%,117.5,8.00%,0.34%,126.5,8.68%,0.64%,,,,,,,,,
2018年03月份,122.3,10.18%,-1.37%,117.1,10.26%,-1.60%,125.7,10.07%,-1.33%,,,,,,,,,
2018年02月份,124,10.12%,1.39%,119,10.90%,1.54%,127.4,9.64%,1.35%,,,,,,,,,
2018年01月份,122.3,12.00%,-2.86%,117.2,12.26%,-0.34%,125.7,11.83%,2.53%,,,,,,,,,
2017年12月份,125.9,16.14%,1.04%,117.6,13.40%,1.12%,122.6,9.96%,1.07%,,,,,,,,,
2017年11月份,124.6,14.73%,-2.35%,116.3,11.51%,-1.77%,121.3,8.79%,-2.10%,,,,,,,,,
2017年10月份,127.6,19.03%,4.68%,118.4,15.40%,4.13%,123.9,12.43%,4.47%,,,,,,,,,
2017年09月份,121.9,16.54%,3.66%,113.7,13.47%,3.18%,118.6,10.22%,3.40%,,,,,,,,,
2017年08月份,117.6,11.36%,2.62%,110.2,8.46%,-0.18%,114.7,5.91%,-2.30%,,,,,,,,,
2017年07月份,114.6,7.30%,1.15%,110.4,7.92%,1.75%,117.4,6.92%,0.86%,,,,,,,,,
2017年06月份,113.3,10.11%,1.16%,108.5,9.49%,0.56%,116.4,10.33%,1.48%,,,,,,,,,
2017年05月份,112,12.22%,-1.23%,107.9,13.34%,-0.83%,114.7,11.58%,-1.46%,,,,,,,,,
2017年04月份,113.4,12.28%,2.16%,108.8,13.93%,2.45%,116.4,11.17%,1.93%,,,,,,,,,
2017年03月份,111,11.00%,-1.42%,106.2,11.91%,-1.03%,114.2,10.44%,-1.72%,,,,,,,,,
2017年02月份,112.6,7.85%,3.11%,107.3,6.55%,2.78%,116.2,8.70%,3.38%,,,,,,,,,
2017年01月份,109.2,5.00%,0.74%,104.4,4.09%,0.68%,112.4,5.44%,0.81%,,,,,,,,,
2016年12月份,108.4,4.53%,-0.18%,103.7,3.08%,-0.58%,111.5,5.39%,0.00%,,,,,,,,,
2016年11月份,108.6,4.32%,1.31%,104.3,4.09%,1.66%,111.5,4.60%,1.18%,,,,,,,,,
2016年10月份,107.2,3.28%,2.49%,102.6,2.70%,2.40%,110.2,3.57%,2.42%,,,,,,,,,
2016年09月份,104.6,-0.95%,-0.95%,100.2,-0.89%,-1.38%,107.6,-0.83%,-0.65%,,,,,,,,,
2016年08月份,105.6,1.54%,-1.12%,101.6,1.91%,-0.68%,108.3,1.40%,-1.37%,,,,,,,,,
2016年07月份,106.8,2.22%,3.79%,102.3,1.51%,3.23%,109.8,2.64%,4.08%,,,,,,,,,
2016年06月份,102.9,-2.50%,3.11%,99.1,-2.63%,4.10%,105.5,-2.31%,2.63%,,,,,,,,,
2016年05月份,99.8,-9.19%,-1.19%,95.2,-8.99%,-0.31%,102.8,-9.35%,-1.81%,,,,,,,,,
2016年04月份,101,-6.13%,1.00%,95.5,-7.01%,0.63%,104.7,-5.59%,1.26%,,,,,,,,,
2016年03月份,100,-6.63%,-4.21%,94.9,-7.23%,-5.76%,103.4,-6.26%,-3.27%,,,,,,,,,
2016年02月份,104.4,-4.92%,0.38%,100.7,-4.19%,0.40%,106.9,-5.40%,0.28%,,,,,,,,,
2016年01月份,104,-1.61%,0.29%,100.3,-0.50%,-0.30%,106.6,-2.20%,0.76%,,,,,,,,,
2015年12月份,103.7,-1.98%,-0.38%,100.6,-0.30%,0.40%,105.8,-3.02%,-0.75%,,,,,,,,,
2015年11月份,104.1,-1.33%,0.29%,100.2,-0.10%,0.30%,106.6,-2.20%,0.19%,,,,,,,,,
2015年10月份,103.8,0.39%,-1.70%,99.9,2.15%,-1.19%,106.4,-0.75%,-1.94%,,,,,,,,,
2015年09月份,105.6,0.19%,1.54%,101.1,0.20%,1.40%,108.5,0.09%,1.59%,,,,,,,,,
2015年08月份,104,0.19%,-0.46%,99.7,0.71%,-1.07%,106.8,-0.19%,-0.17%,,,,,,,,,
2015年07月份,104.48,0.08%,-1.00%,100.78,1.90%,-0.98%,106.98,-0.94%,-0.94%,,,,,,,,,
