股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,3_分钟涨幅,5_分钟涨幅,10_分钟涨幅,20_分钟涨幅,30_分钟涨幅,60_分钟涨幅
贵州茅台,600519,2023-12-27 10:57,1668.77,1670.93,1670.93,1668.77,74,12358897.0,0.13,0.06,0.93,0.0,0.05748606262388165,0.16424987561368962,0.26883494854331175,0.2905005131775682,0.38027153670552416,0.4466486324015668
贵州茅台,600519,2023-12-27 10:58,1671.5,1671.6,1671.77,1671.17,103,17214684.0,0.04,0.04,0.67,0.0,0.09580838323352749,0.03590664272889941,0.31505986137366104,0.33733898366126186,0.412076360272469,0.5497876640640901
贵州茅台,600519,2023-12-27 10:59,1671.45,1671.46,1671.82,1671.45,49,8191000.0,0.02,-0.01,-0.14,0.0,0.03171886314806561,0.08922315969748014,0.21043796276866755,0.3964297298271408,0.40246041471443605,0.6176258126655424
贵州茅台,600519,2023-12-27 11:00,1671.57,1671.08,1671.57,1670.21,34,5681325.0,0.08,-0.02,-0.38,0.0,-0.031107920555155648,0.06467065868263037,0.1906589124048106,0.3434692799154554,0.37481079262872163,0.5941452314878848
贵州茅台,600519,2023-12-27 11:01,1671.5,1670.88,1672.0,1670.81,137,22902797.0,0.07,-0.01,-0.2,0.0,-0.03470020221841547,-0.002992345580003622,0.1630539037022844,0.3429079313223296,0.3031521823955735,0.5330862444495329
贵州茅台,600519,2023-12-27 11:02,1670.88,1670.01,1671.75,1670.0,34,5668422.0,0.1,-0.05,-0.87,0.0,-0.06403044737534626,-0.09511844938980128,0.10910028234193565,0.29788895228371737,0.21483050593183792,0.4505208959892217
贵州茅台,600519,2023-12-27 11:03,1670.01,1671.0,1671.56,1669.98,43,7182898.0,0.09,0.06,0.99,0.0,0.007181844297609096,-0.027520850035300658,0.0,0.3483065097285584,0.27002700270027,0.5106736200083012
贵州茅台,600519,2023-12-27 11:04,1670.99,1670.21,1671.5,1670.17,23,3854328.0,0.08,-0.05,-0.79,0.0,0.011975976191762053,-0.05206213945471737,0.014371515655970413,0.3038765276401493,0.19556675365187864,0.3719907212653727
贵州茅台,600519,2023-12-27 11:05,1670.21,1670.2,1670.22,1670.01,29,4831803.0,0.01,0.0,-0.01,0.0,-0.047875523638537074,-0.04069711768649237,0.01197604790419434,0.3117098395805463,0.21540732384901962,0.4317446573101985
贵州茅台,600519,2023-12-27 11:06,1670.2,1670.0,1670.2,1670.0,20,3351948.0,0.01,-0.01,-0.2,0.0,-0.012573269229620012,-0.0005987988095874219,-0.055657627788121805,0.24671496917562982,0.2118249953494496,0.4209260372820205
